Date,Sales
Jan-2003,141
Feb-2003,157
Mar-2003,185
Apr-2003,199
May-2003,203
Jun-2003,189
Jul-2003,207
Aug-2003,207
Sep-2003,171
Oct-2003,150
Nov-2003,138
Dec-2003,165
Jan-2004,145
Feb-2004,168
Mar-2004,197
Apr-2004,208
May-2004,210
Jun-2004,209
Jul-2004,238
Aug-2004,238
Sep-2004,199
Oct-2004,168
Nov-2004,152
Dec-2004,196
Jan-2005,183
Feb-2005,200
Mar-2005,249
Apr-2005,251
May-2005,289
Jun-2005,249
Jul-2005,279
Aug-2005,279
Sep-2005,232
Oct-2005,204
Nov-2005,194
Dec-2005,232
Jan-2006,215
Feb-2006,239
Mar-2006,270
Apr-2006,279
May-2006,307
Jun-2006,305
Jul-2006,322
Aug-2006,339
Sep-2006,263
Oct-2006,241
Nov-2006,229
Dec-2006,272
Jan-2007,247
Feb-2007,261
Mar-2007,330
Apr-2007,362
May-2007,385
Jun-2007,340
Jul-2007,370
Aug-2007,381
Sep-2007,299
Oct-2007,266
Nov-2007,239
Dec-2007,281
Jan-2008,257
Feb-2008,250
Mar-2008,329
Apr-2008,350
May-2008,393
Jun-2008,370
Jul-2008,423
Aug-2008,410
Sep-2008,326
Oct-2008,289
Nov-2008,270
Dec-2008,321
Jan-2009,305
Feb-2009,310
Mar-2009,374
Apr-2009,414
May-2009,454
Jun-2009,441
Jul-2009,510
Aug-2009,486
Sep-2009,393
Oct-2009,345
Nov-2009,315
Dec-2009,389
Jan-2010,358
Feb-2010,368
Mar-2010,444
Apr-2010,482
May-2010,534
Jun-2010,524
Jul-2010,578
Aug-2010,567
Sep-2010,447
Oct-2010,386
Nov-2010,360
Dec-2010,428
Jan-2011,397
Feb-2011,400
Mar-2011,498
Apr-2011,536
May-2011,596
Jun-2011,591
Jul-2011,651
Aug-2011,654
Sep-2011,509
Oct-2011,437
Nov-2011,406
Dec-2011,470
Jan-2012,428
Feb-2012,423
Mar-2012,507
Apr-2012,536
May-2012,610
Jun-2012,609
Jul-2012,687
Aug-2012,707
Sep-2012,509
Oct-2012,452
Nov-2012,412
Dec-2012,472
Jan-2013,454
Feb-2013,455
Mar-2013,568
Apr-2013,610
May-2013,706
Jun-2013,661
Jul-2013,767
Aug-2013,783
Sep-2013,583
Oct-2013,513
Nov-2013,481
Dec-2013,567
Jan-2014,525
Feb-2014,520
Mar-2014,587
Apr-2014,710
May-2014,793
Jun-2014,749
Jul-2014,871
Aug-2014,848
Sep-2014,640
Oct-2014,581
Nov-2014,519
Dec-2014,605
